US,HOL,2006-01-02,2006-01-16,2006-02-20,2006-04-14,2006-05-29,2006-07-04,2006-09-04,2006-11-23,2006-12-25,2007-01-01,2007-01-02,2007-01-15,2007-02-19,2007-04-06,2007-05-28,2007-07-04,2007-09-03,2007-11-22,2007-12-25,2008-01-01,2008-01-21,2008-02-18,2008-03-21,2008-05-26,2008-07-04,2008-09-01,2008-11-27,2008-12-25,2009-01-01,2009-01-19,2009-02-16,2009-04-10,2009-05-25,2009-07-03,2009-09-07,2009-11-26,2009-12-25,2010-01-01,2010-01-18,2010-02-15,2010-04-02,2010-05-31,2010-07-05,2010-09-06,2010-11-25,2010-12-24,2011-01-17,2011-02-21,2011-04-22,2011-05-30,2011-07-04,2011-09-05,2011-11-24,2011-12-26,2012-01-02,2012-01-16,2012-02-20,2012-04-06,2012-05-28,2012-07-04,2012-09-03,2012-10-29,2012-10-30,2012-11-22,2012-12-25,2013-01-01,2013-01-21,2013-02-18,2013-03-29,2013-05-27,2013-07-04,2013-09-02,2013-11-28,2013-12-25,2014-01-01,2014-01-20,2014-02-17,2014-04-18,2014-05-26,2014-07-04,2014-09-01,2014-11-27,2014-12-25,2015-01-01,2015-01-19,2015-02-16,2015-04-03,2015-05-25,2015-07-03,2015-09-07,2015-11-26,2015-12-25,2016-01-01,2016-01-18,2016-02-15,2016-03-25,2016-05-30,2016-07-04,2016-09-05,2016-11-24,2016-12-26,2017-01-02,2017-01-16,2017-02-20,2017-04-14,2017-05-29,2017-07-04,2017-09-04,2017-11-23,2017-12-25,2018-01-01,2018-01-15,2018-02-19,2018-03-30,2018-05-28,2018-07-04,2018-09-03,2018-11-22,2018-12-25,2019-01-01,2019-01-21,2019-02-18,2019-04-19,2019-05-27,2019-07-04,2019-09-02,2019-11-28,2019-12-25,2020-01-01,2020-01-20,2020-02-17,2020-04-10,2020-05-25,2020-07-03,2020-09-07,2020-11-26,2020-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,HD,2010-11-26,2011-11-25,2012-07-03,2012-11-23,2012-12-24,2013-07-03,2013-11-29,2013-12-24,2014-07-03,2014-11-28,2014-12-24,2015-11-27,2015-12-24,2016-11-25,2017-07-03,2017-11-24,2018-07-03,2018-11-23,2018-12-24,2019-07-03,2019-11-29,2019-12-24,2020-11-27,2020-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR,HOL,2006-04-14,2006-04-17,2006-05-01,2006-12-25,2006-12-26,2007-01-01,2007-04-06,2007-04-09,2007-05-01,2007-12-25,2007-12-26,2008-01-01,2008-03-21,2008-03-24,2008-05-01,2008-12-25,2008-12-26,2009-01-01,2009-04-10,2009-04-13,2009-05-01,2009-12-25,2010-01-01,2010-04-02,2010-04-05,2011-04-22,2011-04-25,2011-12-26,2012-04-06,2012-04-09,2012-05-01,2012-12-25,2012-12-26,2013-01-01,2013-03-29,2013-04-01,2013-05-01,2013-12-25,2013-12-26,2014-01-01,2014-04-18,2014-04-21,2014-05-01,2014-12-25,2014-12-26,2015-01-01,2015-04-03,2015-04-06,2015-05-01,2015-12-25,2016-01-01,2016-03-25,2016-03-28,2016-12-26,2017-04-14,2017-04-17,2017-05-01,2017-12-25,2017-12-26,2018-01-01,2018-03-30,2018-04-02,2018-05-01,2018-12-25,2018-12-26,2019-01-01,2019-04-19,2019-04-22,2019-05-01,2019-12-25,2019-12-26,2020-01-01,2020-04-10,2020-04-13,2020-05-01,2020-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR,HD,2010-12-24,2010-12-31,2012-12-24,2012-12-31,2013-12-24,2013-12-31,2014-12-24,2014-12-31,2015-12-24,2015-12-31,2018-12-24,2018-12-31,2019-12-24,2019-12-31,2020-12-24,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,HOL,2006-04-14,2006-04-17,2006-05-01,2006-12-25,2006-12-26,2007-01-01,2007-04-06,2007-04-09,2007-05-01,2007-05-28,2007-12-24,2007-12-25,2007-12-26,2007-12-31,2008-01-01,2008-03-21,2008-03-24,2008-05-01,2008-12-24,2008-12-25,2008-12-26,2008-12-31,2009-01-01,2009-04-10,2009-04-13,2009-05-01,2009-12-24,2009-12-25,2009-12-31,2010-01-01,2010-04-02,2010-04-05,2010-12-24,2010-12-31,2011-04-22,2011-04-25,2011-12-26,2012-04-06,2012-04-09,2012-05-01,2012-12-24,2012-12-25,2012-12-26,2012-12-31,2013-01-01,2013-03-29,2013-04-01,2013-05-01,2013-12-24,2013-12-25,2013-12-26,2013-12-31,2014-01-01,2014-04-18,2014-04-21,2014-05-01,2014-12-24,2014-12-25,2014-12-26,2014-12-31,2015-01-01,2015-04-03,2015-04-06,2015-05-01,2015-05-25,2015-12-24,2015-12-25,2015-12-31,2016-01-01,2016-03-25,2016-03-28,2016-12-26,2017-04-14,2017-04-17,2017-05-01,2017-12-25,2017-12-26,2018-01-01,2018-03-30,2018-04-02,2018-05-01,2018-12-24,2018-12-25,2018-12-26,2018-12-31,2019-01-01,2019-04-19,2019-04-22,2019-05-01,2019-12-24,2019-12-25,2019-12-26,2019-12-31,2020-01-01,2020-04-10,2020-04-13,2020-05-01,2020-12-24,2020-12-25,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,HD,2012-12-28,2013-12-30,2016-05-16,2016-12-30,2017-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,HOL,2006-01-02,2006-04-14,2006-04-17,2006-05-01,2006-05-29,2006-08-28,2006-12-25,2006-12-26,2007-01-01,2007-04-06,2007-04-09,2007-05-07,2007-05-28,2007-08-27,2007-12-25,2007-12-26,2008-01-01,2008-03-21,2008-03-24,2008-05-05,2008-05-26,2008-08-25,2008-12-25,2008-12-26,2009-01-01,2009-04-10,2009-04-13,2009-05-04,2009-05-25,2009-08-31,2009-12-25,2009-12-28,2010-01-01,2010-04-02,2010-04-05,2010-05-03,2010-05-31,2010-08-30,2010-12-27,2010-12-28,2011-01-03,2011-04-22,2011-04-25,2011-04-29,2011-05-02,2011-05-30,2011-08-29,2011-12-26,2011-12-27,2012-01-02,2012-04-06,2012-04-09,2012-05-07,2012-06-04,2012-06-05,2012-08-27,2012-12-25,2012-12-26,2013-01-01,2013-03-29,2013-04-01,2013-05-06,2013-05-27,2013-08-26,2013-12-25,2013-12-26,2014-01-01,2014-04-18,2014-04-21,2014-05-05,2014-05-26,2014-08-25,2014-12-25,2014-12-26,2015-01-01,2015-04-03,2015-04-06,2015-05-04,2015-05-25,2015-08-31,2015-12-25,2015-12-28,2016-01-01,2016-03-25,2016-03-28,2016-05-02,2016-05-30,2016-08-29,2016-12-26,2016-12-27,2017-01-02,2017-04-14,2017-04-17,2017-05-01,2017-05-29,2017-08-28,2017-12-25,2017-12-26,2018-01-01,2018-03-30,2018-04-02,2018-05-07,2018-05-28,2018-08-27,2018-12-25,2018-12-26,2019-01-01,2019-04-19,2019-04-22,2019-05-06,2019-05-27,2019-08-26,2019-12-25,2019-12-26,2020-01-01,2020-04-10,2020-04-13,2020-05-04,2020-05-25,2020-08-31,2020-12-25,2020-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK,HOL,2006-01-02,2006-01-30,2006-01-31,2006-04-05,2006-04-14,2006-04-17,2006-05-01,2006-05-05,2006-05-31,2006-10-02,2006-10-30,2006-12-25,2006-12-26,2007-01-01,2007-02-19,2007-02-20,2007-04-05,2007-04-06,2007-04-09,2007-05-01,2007-05-24,2007-06-19,2007-07-02,2007-09-26,2007-10-01,2007-10-19,2007-12-25,2007-12-26,2008-01-01,2008-02-07,2008-02-08,2008-03-21,2008-03-24,2008-04-04,2008-05-01,2008-05-12,2008-06-09,2008-07-01,2008-09-15,2008-10-01,2008-10-07,2008-12-25,2008-12-26,2009-01-01,2009-01-26,2009-01-27,2009-01-28,2009-04-10,2009-04-13,2009-05-01,2009-05-28,2009-07-01,2009-10-01,2009-10-26,2009-12-25,2010-01-01,2010-02-15,2010-02-16,2010-04-02,2010-04-05,2010-04-06,2010-05-21,2010-06-16,2010-07-01,2010-09-23,2010-10-01,2010-12-27,2011-02-03,2011-02-04,2011-04-05,2011-04-22,2011-04-25,2011-05-02,2011-05-10,2011-06-06,2011-07-01,2011-09-13,2011-10-05,2011-12-26,2011-12-27,2012-01-02,2012-01-23,2012-01-24,2012-01-25,2012-04-04,2012-04-06,2012-04-09,2012-05-01,2012-07-02,2012-10-01,2012-10-02,2012-10-23,2012-12-25,2012-12-26,2013-01-01,2013-02-11,2013-02-12,2013-02-13,2013-03-29,2013-04-01,2013-04-04,2013-05-01,2013-05-17,2013-06-12,2013-07-01,2013-09-20,2013-10-01,2013-10-14,2013-12-25,2013-12-26,2014-01-01,2014-01-31,2014-02-03,2014-04-18,2014-04-21,2014-05-01,2014-05-06,2014-06-02,2014-07-01,2014-09-09,2014-10-01,2014-10-02,2014-12-25,2014-12-26,2015-01-01,2015-02-19,2015-02-20,2015-04-03,2015-04-06,2015-04-07,2015-05-01,2015-05-25,2015-07-01,2015-09-03,2015-09-28,2015-10-01,2015-10-21,42363,42370,42408,42409,42410,42454,42457,42464,42492,42530,42552,42584,42629,42653,42664,42730,42731,42737,42765,42766,42829,42839,42842,42856,42858,42885,43010,43013,43094,43095,43101,43147,43150,43189,43192,43195,43221,43242,43269,43283,43368,43374,43390,43459,43460,43466,43824,43825,43831,43857,43858,43931,43934,44013,44105,44190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HK,HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
